股票名稱
欣銓
長聖
晶采
台半
南仁湖
營邦
亞元
雙鴻
中天
保瑞
富強鑫
聯合
廣明
昇銳
港建*
合晶
廣運
富野
宜特
有益
伍豐
良維
鈺創
精材
國統
漢磊
愛地雅
中探針
華景電
老爺知
威剛
系微
安勤
天鉞電
中光電
千如
廣錠
""
中裕
鈺緯
永昕
利機
撼訊
東洋
晶呈科技
常珵
建錩
駿吉-KY
浩鼎
晟德
山富
巨有科技
磐儀
晟田
宇智
海灣
瀧澤科
普誠
富喬
大學光
宣德
光環
環球晶
訊聯
泰詠
振曜
濟生
東浦
優盛
高僑
金雨
大樹
精確
閎康
光聯
聯一光
聖暉*
岳豐
霖宏
波若威
盛弘
六角
國眾
華盈
皇將
漢來美食
艾訊
泰藝
鴻翊
信昌電
博智
醣聯
維田
瑞耘
新普
大宇資
華星光
泰博
佳邦
朋程
""
""
""
""
""
""
""
""
""
""
""
""
